ID_Pedido,Cliente,Categoria,Unidades,Precio_Unitario,Prioridad,Region,Descuento_Aplicado
101,TechCorp,Hardware,5,1200.50,Alta,Norte,No
102,AlphaLabs,Hardware,2,450.00,Media,Sur,Si
103,BetaOmega,Software,10,89.99,Baja,Este,No
104,TechCorp,Soporte,1,150.00,Baja,Norte,No
105,AlphaLabs,Software,4,250.00,Alta,Sur,Si
106,BetaOmega,Hardware,3,600.00,Alta,Este,No
107,TechCorp,Software,15,99.99,Baja,Norte,Si
108,GlobalNet,Soporte,2,150.00,Media,Oeste,No
109,AlphaLabs,Hardware,8,300.00,Media,Sur,No
110,GlobalNet,Software,20,45.50,Alta,Oeste,Si
111,TechCorp,Hardware,2,1100.00,Alta,Norte,Si
112,DeltaSystems,Software,7,125.00,Media,Este,No
113,BetaOmega,Soporte,5,75.00,Baja,Este,No
114,AlphaLabs,Hardware,1,850.00,Alta,Sur,No
115,GlobalNet,Hardware,6,400.00,Media,Oeste,Si
116,DeltaSystems,Hardware,4,520.00,Alta,Este,Si
117,TechCorp,Soporte,12,120.00,Media,Norte,No
118,BetaOmega,Software,8,95.00,Baja,Este,Si
119,AlphaLabs,Soporte,3,180.00,Alta,Sur,No
120,GlobalNet,Hardware,11,350.00,Alta,Oeste,No
